epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1473.69,0.40693,0.20857,0.83855,0.99966,1,0.995,0.943,0.3669,0.17042,0.78949,0.000515,0.000515,0.000515
47,1506.1,0.38927,0.20151,0.82854,0.99968,1,0.995,0.94291,0.36837,0.16688,0.7901,0.000482,0.000482,0.000482
48,1537.14,0.3916,0.20555,0.8364,0.99968,1,0.995,0.94101,0.36352,0.16299,0.78869,0.000449,0.000449,0.000449
49,1569.6,0.39035,0.20413,0.83175,0.99968,1,0.995,0.94441,0.37956,0.17384,0.79299,0.000416,0.000416,0.000416
50,1600.59,0.3912,0.20162,0.8332,0.99969,1,0.995,0.94226,0.36501,0.16158,0.78944,0.000383,0.000383,0.000383
51,1634.27,0.37474,0.18288,0.81633,0.99965,1,0.995,0.94404,0.36595,0.17236,0.78827,0.00035,0.00035,0.00035
52,1664.74,0.37371,0.1815,0.81793,0.99968,1,0.995,0.94178,0.37204,0.17041,0.7899,0.000317,0.000317,0.000317
53,1694.78,0.36761,0.17689,0.81403,0.99965,1,0.995,0.94966,0.36455,0.17155,0.78866,0.000284,0.000284,0.000284
54,1724.95,0.36969,0.17596,0.81532,0.99967,1,0.995,0.94289,0.3687,0.17287,0.7892,0.000251,0.000251,0.000251
55,1755.2,0.36638,0.17327,0.82145,0.99968,1,0.995,0.9395,0.37524,0.1635,0.79006,0.000218,0.000218,0.000218
56,1787.29,0.36157,0.17024,0.81383,0.99968,1,0.995,0.94846,0.36206,0.16072,0.78772,0.000185,0.000185,0.000185
57,1818.65,0.36061,0.16833,0.81686,0.99968,1,0.995,0.95004,0.35968,0.16186,0.7869,0.000152,0.000152,0.000152
58,1849.21,0.35351,0.16493,0.81395,0.99968,1,0.995,0.94748,0.36599,0.15899,0.78873,0.000119,0.000119,0.000119
59,1879.7,0.35492,0.16381,0.81488,0.99969,1,0.995,0.95116,0.35824,0.15236,0.78698,8.6e-05,8.6e-05,8.6e-05
60,1910.18,0.35181,0.15926,0.81312,0.99968,1,0.995,0.94922,0.36064,0.15098,0.7874,5.3e-05,5.3e-05,5.3e-05
